NCM,Produto,Qtd refs.,Situação (benefício),Dispositivo legal (RICMS-SP),cBenef sugerido,CST provável,"Existe benefício na lei, mas NÃO se aplica a esta venda",Observação
8061000,UVA THOMPSON 500G,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
8072000,MAMAO KG.,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
8081000,MAT PRIMA MACA KG,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 140 (maçã e pêra)",SP011400,40,,Isenção específica para maçã e pêra em estado natural (excluídas do art. 36).
8081000,MAT PRIMA MANGA KG,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 140 (maçã e pêra)",SP011400,40,,Isenção específica para maçã e pêra em estado natural (excluídas do art. 36).
8101000,MAT PRIMA MORANGO KG,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
96190000,ABSORVENTE INTIMUS GEL SUAVE S/ ABAS,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 176 (Absorventes)",SP011760,40,,Isenção específica para absorventes higiênicos femininos.
96190000,ABSORVENTE INTIMUS SUAVE TRIPLA PROTECAO C/ ABAS,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 176 (Absorventes)",SP011760,40,,Isenção específica para absorventes higiênicos femininos.
11010010,FARINHA DE TRIGO DONA BENTA 1KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XVII",SP020030,20,"Art. 135, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - farinha de trigo. (Existe também isenção no art. 135 do Anexo I para o mesmo produto, mas essa isenção é EXCLUSIVA de contribuintes do Simples Nacional — não se aplica à sua loja, que é RPA.)"
11010010,FARINHA DE TRIGO ROSA BRANCA 1KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XVII",SP020030,20,"Art. 135, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - farinha de trigo. (Existe também isenção no art. 135 do Anexo I para o mesmo produto, mas essa isenção é EXCLUSIVA de contribuintes do Simples Nacional — não se aplica à sua loja, que é RPA.)"
11022000,FUBA MIMOSO SIAMAR 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, VII",SP020030,20,,Cesta básica - farinha de milho/fubá.
11022000,FUBA MIMOSO YOKI 500G.,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, VII",SP020030,20,,Cesta básica - farinha de milho/fubá.
15079011,MAT PRIMA OLEO LITRO,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, IV",SP020030,20,,"Cesta básica - óleo vegetal comestível (exceto oliva). (O art. 137, Anexo I é isenção só para ÓLEO USADO destinado a insumo industrial — não se aplica a óleo novo vendido no varejo.)"
15079011,OLEO SOJA LIZA  900ML,2,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, IV",SP020030,20,,"Cesta básica - óleo vegetal comestível (exceto oliva). (O art. 137, Anexo I é isenção só para ÓLEO USADO destinado a insumo industrial — não se aplica a óleo novo vendido no varejo.)"
15171000,MARGARINA QUALY COM SAL 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, IX",SP020030,20,,Cesta básica - manteiga/margarina/creme vegetal. ATENÇÃO: queijos NÃO estão mais neste inciso desde 2008 (Decreto 53.631/08) — sem benefício.
16010000,MAT PRIMA SALSICHA HOT DOG KG,2,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XXIII",SP020030,20,,Cesta básica - salsicha/mortadela. Salame NÃO está incluído neste inciso (fora do benefício).
16010000,MORTADELA TRAD DEFUMADA E OURO KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XXIII",SP020030,20,,Cesta básica - salsicha/mortadela. Salame NÃO está incluído neste inciso (fora do benefício).
16010000,SALSICHA HOT DOG PERDIGAO 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XXIII",SP020030,20,,Cesta básica - salsicha/mortadela. Salame NÃO está incluído neste inciso (fora do benefício).
16010000,SALSICHA HOT DOG SADIA 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XXIII",SP020030,20,,Cesta básica - salsicha/mortadela. Salame NÃO está incluído neste inciso (fora do benefício).
16010000,SALSICHA HOT DOG SEARA 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XXIII",SP020030,20,,Cesta básica - salsicha/mortadela. Salame NÃO está incluído neste inciso (fora do benefício).
17019900,ACUCAR CRISTAL UNIAO 1KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, V",SP020030,20,,Cesta básica - açúcar cristal/refinado.
17019900,ACUCAR GRANELLI DEMERARA 1KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, V",SP020030,20,,Cesta básica - açúcar cristal/refinado.
17019900,ACUCAR REFINADO UNIAO 1KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, V",SP020030,20,,Cesta básica - açúcar cristal/refinado.
19021100,DOCE TORTA FATIA SABORES,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIX",SP020030,20,"Art. 135, III, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - massas alimentícias não cozidas, sem recheio/tempero (posição 1902.11). (Isenção equivalente do art. 135, III, Anexo I é exclusiva do Simples Nacional.)"
19021100,MACARRAO BARILLA PENNE RIGATE 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIX",SP020030,20,"Art. 135, III, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - massas alimentícias não cozidas, sem recheio/tempero (posição 1902.11). (Isenção equivalente do art. 135, III, Anexo I é exclusiva do Simples Nacional.)"
19021100,MACARRAO ESPAGUETE GRANO TERNO BARILLA 500G.,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIX",SP020030,20,"Art. 135, III, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - massas alimentícias não cozidas, sem recheio/tempero (posição 1902.11). (Isenção equivalente do art. 135, III, Anexo I é exclusiva do Simples Nacional.)"
19021100,MACARRAO GRANO TENRO BARILLA PARAFUSO 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIX",SP020030,20,"Art. 135, III, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - massas alimentícias não cozidas, sem recheio/tempero (posição 1902.11). (Isenção equivalente do art. 135, III, Anexo I é exclusiva do Simples Nacional.)"
19021100,PAO DE QUEIJO APERITIVO KG.,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIX",SP020030,20,"Art. 135, III, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - massas alimentícias não cozidas, sem recheio/tempero (posição 1902.11). (Isenção equivalente do art. 135, III, Anexo I é exclusiva do Simples Nacional.)"
19053100,BISC BAUDUCCO CREAM CRACKER INTEG 165G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XX",SP020030,20,"Art. 135, V, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - biscoito tipo água-e-sal/maisena/cream cracker/maria, SEM cacau, recheio ou cobertura. (Isenção equivalente do art. 135, V, Anexo I é exclusiva do Simples Nacional.)"
19053100,BISCOITO BAUDUCCO MAIZENA VITAMINADA 170GR,2,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XX",SP020030,20,"Art. 135, V, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - biscoito tipo água-e-sal/maisena/cream cracker/maria, SEM cacau, recheio ou cobertura. (Isenção equivalente do art. 135, V, Anexo I é exclusiva do Simples Nacional.)"
19053100,BISCOITO TRIUNFO AGUA E SAL 164G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XX",SP020030,20,"Art. 135, V, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - biscoito tipo água-e-sal/maisena/cream cracker/maria, SEM cacau, recheio ou cobertura. (Isenção equivalente do art. 135, V, Anexo I é exclusiva do Simples Nacional.)"
19053100,BISCOITO TRIUNFO CREAM CRACKER TRADI 165G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XX",SP020030,20,"Art. 135, V, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - biscoito tipo água-e-sal/maisena/cream cracker/maria, SEM cacau, recheio ou cobertura. (Isenção equivalente do art. 135, V, Anexo I é exclusiva do Simples Nacional.)"
19053100,BISCOITO TRUNFO MAIZENA 170G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XX",SP020030,20,"Art. 135, V, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - biscoito tipo água-e-sal/maisena/cream cracker/maria, SEM cacau, recheio ou cobertura. (Isenção equivalente do art. 135, V, Anexo I é exclusiva do Simples Nacional.)"
19059010,PAO DE  ABOBORA LINHACA NUTRELLA 350G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA BAUDUCCO TRADICIONAL 390G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA NUTRELLA CAST PARA E QUINOA 350G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA PULLMAN ARTESANO 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA PULLMAN ARTESANO INTEGRAL 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA PULLMAN ARTESANO PAO NA CHAPA 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA PULLMAN INTEGRAL 480G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA PULLMAN SEM CASCA 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE FORMA PULLMAN TRADICIONAL 480G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO DE SANDUICHE NUTRELLA SUPREME F 680G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO GRAOS CASTANHA NUTRELLA 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO NUTRELLA AVEIA SEMENTE E GRAOS 350G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO NUTRELLA SUPREME 100% INTEG 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO NUTRELLA VITTA 14 GRAOS INTEGR 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO PULLMAN 12 GRAOS VITAGRAO 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO PULLMAN CRANBERRY QUINOA HIBISCO 350G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO PULLMAN GRAOS E CASTANHAS 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO WICKBOLD 100% INTEGRAL TRADICIONAL 350G.,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO WICKBOLD CASTANHA E QUINOA GRAO SABOR 350G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO WICKBOLD DE FORMA INTEGRAL 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO WICKBOLD DE FORMA TRADICIONAL 450G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO WICKBOLD DO FORNO 100% INTEGRAL 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059010,PAO WICKBOLD GRAO SABOR INT MACA CAN PASSAS 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059090,BISNAGUINHA PULLMAN 300G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XIV",SP020030,20,,"Cesta básica - pão de forma/bisnaga sem cobertura, fruta ou chocolate. Confirmar se a composição específica do item se enquadra (ex.: pães com castanha/grãos podem estar fora)."
19059090,MAT PRIMA PAO FRANCES KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, XXI",SP020030,20,"Art. 135, IV, Anexo I (isenção) — exclusivo para Simples Nacional; loja é RPA","Cesta básica - pão francês/de sal (até 1kg, sem ingrediente que descaracterize). (Isenção do art. 135, IV, Anexo I para o mesmo produto é EXCLUSIVA do Simples Nacional — loja é RPA.)"
4022110,LEITE PO INTEG. PIRACANJUBA 1KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, II",SP020030,20,,Cesta básica - leite em pó.
4051000,MANTEIGA AVIACAO COM SAL 200G,2,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, IX",SP020030,20,,Cesta básica - manteiga/margarina/creme vegetal. ATENÇÃO: queijos NÃO estão mais neste inciso desde 2008 (Decreto 53.631/08) — sem benefício.
4051000,MANTEIGA EXTRA  ALEGRIA 250 GR C SAL,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, IX",SP020030,20,,Cesta básica - manteiga/margarina/creme vegetal. ATENÇÃO: queijos NÃO estão mais neste inciso desde 2008 (Decreto 53.631/08) — sem benefício.
4051000,MAT PRIMA MANTEIGA ELIANE KG,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, IX",SP020030,20,,Cesta básica - manteiga/margarina/creme vegetal. ATENÇÃO: queijos NÃO estão mais neste inciso desde 2008 (Decreto 53.631/08) — sem benefício.
9012100,CAFE EM PO TRES CORACOES TRADICIONAL 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, III",SP020030,20,,"Cesta básica - café torrado em grão ou moído (NÃO se aplica a café solúvel, NCM 2101)."
9012100,CAFE LABAREDA SELECAO 500G,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, III",SP020030,20,,"Cesta básica - café torrado em grão ou moído (NÃO se aplica a café solúvel, NCM 2101)."
9012100,MATERIA PRIMA CAFE EM GRAOS NESCAFE KG.,1,REDUÇÃO DE BASE DE CÁLCULO (carga 7%),"RICMS-SP, Anexo II, art. 3º, III",SP020030,20,,"Cesta básica - café torrado em grão ou moído (NÃO se aplica a café solúvel, NCM 2101)."
16024900,PRESUNTO KG,2,Requer confirmação com contador,"Art. 3º, X cobre ""apresuntado"", não necessariamente ""presunto""",,00/60,,"O benefício da cesta básica (art. 3º, X) menciona ""apresuntado"" (produto reconstituído específico), termo distinto de ""presunto"" tradicional. Confirmar com contador se o produto vendido se enquadra na definição legal antes de aplicar o benefício."
19021900,HOLYFOODS MAC ALFREDO 115G,2,Requer confirmação com contador,"Possível fora do art. 3º, XIX (massas temperadas/prontas)",,00/60,,"Macarrão instantâneo/temperado/pronto tende a estar fora da redução da cesta básica (só cobre massas simples não temperadas, pos. 1902.11/1902.19 estritas) e pode estar em ICMS-ST."
19021900,HOLYFOODS MAC BOLONHA 115G,1,Requer confirmação com contador,"Possível fora do art. 3º, XIX (massas temperadas/prontas)",,00/60,,"Macarrão instantâneo/temperado/pronto tende a estar fora da redução da cesta básica (só cobre massas simples não temperadas, pos. 1902.11/1902.19 estritas) e pode estar em ICMS-ST."
19021900,HOLYFOODS MAC CAIPIRA 115G,1,Requer confirmação com contador,"Possível fora do art. 3º, XIX (massas temperadas/prontas)",,00/60,,"Macarrão instantâneo/temperado/pronto tende a estar fora da redução da cesta básica (só cobre massas simples não temperadas, pos. 1902.11/1902.19 estritas) e pode estar em ICMS-ST."
19021900,HOLYFOODS MAC QUEIJO 132G,2,Requer confirmação com contador,"Possível fora do art. 3º, XIX (massas temperadas/prontas)",,00/60,,"Macarrão instantâneo/temperado/pronto tende a estar fora da redução da cesta básica (só cobre massas simples não temperadas, pos. 1902.11/1902.19 estritas) e pode estar em ICMS-ST."
4011010,LEITE PIRACANJUBA DESNATADO 1L,1,Requer confirmação com contador,Isenção só para leite CRU/PASTEURIZADO/REIDRATADO (não UHT longa vida),,00/40,,"Existe isenção (art. 103 e art. 43, Anexo I, cBenef SP011030) para leite cru, pasteurizado tipo A/B/C ou reidratado vendido a consumidor final — mas NÃO para leite UHT ""longa vida"" em caixinha (o mais comum em loja de conveniência), que ficou de fora da cesta básica desde 2011. Confirme com o fornecedor/contador se o leite vendido é UHT (sem benefício) ou pasteurizado fresco (isento)."
4012010,LEITE ITALAC INTEGRAL 1L,1,Requer confirmação com contador,Isenção só para leite CRU/PASTEURIZADO/REIDRATADO (não UHT longa vida),,00/40,,"Existe isenção (art. 103 e art. 43, Anexo I, cBenef SP011030) para leite cru, pasteurizado tipo A/B/C ou reidratado vendido a consumidor final — mas NÃO para leite UHT ""longa vida"" em caixinha (o mais comum em loja de conveniência), que ficou de fora da cesta básica desde 2011. Confirme com o fornecedor/contador se o leite vendido é UHT (sem benefício) ou pasteurizado fresco (isento)."
4012010,LEITE NINHO INTEGRAL 1L,1,Requer confirmação com contador,Isenção só para leite CRU/PASTEURIZADO/REIDRATADO (não UHT longa vida),,00/40,,"Existe isenção (art. 103 e art. 43, Anexo I, cBenef SP011030) para leite cru, pasteurizado tipo A/B/C ou reidratado vendido a consumidor final — mas NÃO para leite UHT ""longa vida"" em caixinha (o mais comum em loja de conveniência), que ficou de fora da cesta básica desde 2011. Confirme com o fornecedor/contador se o leite vendido é UHT (sem benefício) ou pasteurizado fresco (isento)."
4012010,LEITE USO PADARIA,3,Requer confirmação com contador,Isenção só para leite CRU/PASTEURIZADO/REIDRATADO (não UHT longa vida),,00/40,,"Existe isenção (art. 103 e art. 43, Anexo I, cBenef SP011030) para leite cru, pasteurizado tipo A/B/C ou reidratado vendido a consumidor final — mas NÃO para leite UHT ""longa vida"" em caixinha (o mais comum em loja de conveniência), que ficou de fora da cesta básica desde 2011. Confirme com o fornecedor/contador se o leite vendido é UHT (sem benefício) ou pasteurizado fresco (isento)."
